0; 0; 0; 
0,1; -9383,51; -181593; 
0,2; -35225,4; -330269; 
0,3; -74542,3; -451995; 
0,4; -124892; -551657; 
0,5; -184274; -633253; 
0,6; -244706; -545781; 
0,7; -294172; -446848; 
0,8; -334671; -365850; 
0,9; -367830; -299534; 
1; -394977; -245238; 
1,1; -417204; -200784; 
1,2; -435402; -164388; 
1,3; -450301; -134590; 
1,4; -462499; -110195; 
1,5; -472487; -90219,4; 
1,6; -480664; -73866,1; 
1,7; -487358; -60477,5; 
1,8; -492840; -49515,7; 
1,9; -497327; -40540,7; 
2; -501002; -33192; 
2,1; -504010; -27176,1; 
2,2; -506473; -22249,5; 
2,3; -508490; -18217,1; 
2,4; -510141; -14915,2; 
2,5; -511493; -12210,3; 
2,6; -512599; -9997,48; 
2,7; -513505; -8184,4; 
2,8; -514247; -6700,84; 
2,9; -514854; -5485,74; 
3; -515352; -4491,09; 
3,1; -515759; -3677,81; 
3,2; -516092; -3012,4; 
3,3; -516365; -2465,96; 
3,4; -516589; -2020,3; 
3,5; -516772; -1654,63; 
3,6; -516922; -1355,9; 
3,7; -517045; -1109,55; 
3,8; -517145; -907,102; 
3,9; -517227; -742,535; 
4; -517295; -607,409; 
4,1; -517350; -497,611; 
4,2; -517395; -407,793; 
4,3; -517432; -334,027; 
4,4; -517462; -273,413; 
4,5; -517487; -225,245; 
4,6; -517507; -183,922; 
4,7; -517524; -149,737; 
4,8; -517538; -123,761; 
4,9; -517549; -102,267; 
5; -517558; -82,6645; 
5,1; -517566; -67,9725; 
5,2; -517572; -56,1257; 
5,3; -517577; -46,1823; 
5,4; -517581; -36,9265; 
5,5; -517584; -31,012; 
5,6; -517587; -24,4176; 
5,7; -517589; -21,4129; 
5,8; -517591; -16,6861; 
5,9; -517593; -12,391; 
6; -517594; -10,7335; 
6,1; -517595; -10,4692; 
6,2; -517596; -9,6182; 
6,3; -517597; -7,38762; 
6,4; -517598; -4,5599; 
6,5; -517598; -1,97279; 
6,6; -517598; 0,153671; 
6,7; -517598; 1,89709; 
6,8; -517598; 3,31544; 
6,9; -517597; 4,31365; 
7; -517597; 4,67314; 
7,1; -517596; 4,25144; 
7,2; -517596; 3,1737; 
7,3; -517596; 1,76828; 
7,4; -517596; 0,355915; 
7,5; -517596; -0,849672; 
7,6; -517596; -1,718; 
7,7; -517596; -2,16883; 
7,8; -517596; -2,18085; 
7,9; -517596; -1,81365; 
8; -517596; -1,19738; 
8,1; -517597; -0,488382; 
8,2; -517597; 0,173876; 
8,3; -517597; 0,687274; 
8,4; -517596; 0,99199; 
8,5; -517596; 1,07138; 
8,6; -517596; 0,950036; 
8,7; -517596; 0,684665; 
8,8; -517596; 0,348089; 
8,9; -517596; 0,0121447; 
9; -517596; -0,265062; 
9,1; -517596; -0,446173; 
9,2; -517596; -0,516914; 
9,3; -517596; -0,484638; 
9,4; -517596; -0,373486; 
9,5; -517596; -0,217193; 
9,6; -517596; -0,0512942; 
9,7; -517596; 0,0935079; 
9,8; -517596; 0,195777; 
9,9; -517596; 0,245349; 
10; -517596; 0,243073; 
