1,56554;2,27579;0,00632775;46

0; 0; 0; 0; 
1,48746e-05; 0,000443345; 0,000985007; 0,0195519; 
0,000116668; 0,00172682; 0,00388144; 0,0382355; 
0,000385963; 0,00378219; 0,00860451; 0,0560911; 
0,000896628; 0,00654342; 0,0150734; 0,0731576; 
0,00171604; 0,00994679; 0,023211; 0,0894721; 
0,00290534; 0,013931; 0,0329439; 0,10507; 
0,00451963; 0,018437; 0,0442022; 0,119985; 
0,00660826; 0,0234086; 0,0569192; 0,134249; 
0,00921506; 0,0287917; 0,0710313; 0,147892; 
0,0123786; 0,0345349; 0,086478; 0,160944; 
0,0161324; 0,0405892; 0,103201; 0,17343; 
0,0205052; 0,0469082; 0,121146; 0,185376; 
0,0255214; 0,0534479; 0,140259; 0,196807; 
0,0312008; 0,0601666; 0,160491; 0,207744; 
0,0375594; 0,0670252; 0,181792; 0,218208; 
0,0446093; 0,0739868; 0,204117; 0,228218; 
0,052359; 0,0810168; 0,227421; 0,237793; 
0,0608138; 0,0880828; 0,251662; 0,24695; 
0,0699757; 0,0951545; 0,276798; 0,255702; 
0,079844; 0,102204; 0,30279; 0,264066; 
0,0904149; 0,109205; 0,329599; 0,272054; 
0,101682; 0,116133; 0,357188; 0,279678; 
0,113638; 0,122966; 0,385523; 0,28695; 
0,126272; 0,129683; 0,414567; 0,293878; 
0,13957; 0,136267; 0,444287; 0,300474; 
0,15352; 0,142699; 0,474651; 0,306744; 
0,168105; 0,148964; 0,505626; 0,312698; 
0,183307; 0,155048; 0,53718; 0,318341; 
0,199108; 0,160938; 0,569284; 0,32368; 
0,215487; 0,166623; 0,601906; 0,328721; 
0,232425; 0,172094; 0,635018; 0,333469; 
0,249899; 0,177341; 0,66859; 0,337928; 
0,267886; 0,182356; 0,702594; 0,342104; 
0,286362; 0,187134; 0,737002; 0,345999; 
0,305304; 0,191669; 0,771785; 0,349618; 
0,324688; 0,195956; 0,806916; 0,352963; 
0,344487; 0,199991; 0,842368; 0,356037; 
0,364677; 0,203772; 0,878115; 0,358843; 
0,385233; 0,207297; 0,914128; 0,361384; 
0,406128; 0,210564; 0,950383; 0,363661; 
0,427337; 0,213573; 0,986852; 0,365678; 
0,448834; 0,216323; 1,02351; 0,367435; 
0,470593; 0,218816; 1,06033; 0,368935; 
0,492589; 0,221052; 1,09729; 0,370181; 
0,514795; 0,223034; 1,13436; 0,371173; 
0,537187; 0,224762; 1,17151; 0,371913; 
0,559739; 0,226241; 1,20873; 0,372405; 
0,582427; 0,227472; 1,24599; 0,372649; 
